Colonne 1,Âge,Profession,À quelle fréquence laissez-vous des avis en ligne sur les produits ou services que vous utilisez ?,Dans quelle mesure les avis en ligne influencent-ils vos décisions d'achat ?  ,Pensez-vous que les entreprises répondent de manière appropriée aux avis en ligne ?,Les avis positifs et négatifs influencent-ils de manière égale votre perception d'une entreprise ?,À quel point faites-vous confiance aux avis en ligne pour refléter fidèlement la qualité d'un produit ou d'un service ?,Quelle est votre expérience avec le retour d'information des entreprises suite à vos avis en ligne ?,Connaissez-vous le concept d'analyse des sentiments appliquée aux avis en ligne ?,Pensez-vous que l'analyse des sentiments peut aider les entreprises à mieux comprendre et répondre aux avis des clients ?,Quelles améliorations espérez-vous de la part des entreprises utilisant l'analyse des sentiments pour analyser les avis en ligne ?,Comment évalueriez-vous votre satisfaction globale quant à la manière dont les entreprises gèrent actuellement les avis en ligne ?,"Préférez-vous que les entreprises répondent publiquement aux avis ou en privé (par exemple, par email) ?",Avez-vous déjà changé d'avis sur une entreprise après qu'elle ait répondu à un avis en ligne (positivement ou négativement) ?
02/07/2024 21:26:24,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Oui,"Oui, un peu",Temps de réponse plus rapide,Neutre,Publiquement,"Oui, positivement"
02/07/2024 21:48:26,20-29 ans,Étudiant(e),Parfois,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Satisfait,Non,"Oui, un peu",Meilleure compréhension des besoins des clients,Neutre,Publiquement,"Oui, positivement"
02/07/2024 21:49:45,30-39 ans,Artisane,Parfois,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,"Oui, positivement"
02/07/2024 21:58:21,30-39 ans,Salarié,Rarement,Moyennement influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Neutre,"Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:01:01,30-39 ans,Gestionnaire clients,Parfois,Très influent,"Oui, souvent","Oui, de manière égale",Confiant,Satisfait,Non,Neutre,Meilleure compréhension des besoins des clients,Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:24:08,30-39 ans,Chargé d'affaire froid indutriel,Jamais,Influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Insatisfait,Pas de préférence,"Oui, positivement"
02/07/2024 22:43:40,20-29 ans,Graphiste,Jamais,Très influent,"Oui, souvent",Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, beaucoup","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
02/07/2024 22:48:11,30-39 ans,Employer ,Jamais,Moyennement influent,Rarement,"Oui, de manière égale",Confiant,Neutre,Non,Neutre,"Temps de réponse plus rapide, Amélioration des produits/services",Neutre,Publiquement,Non
02/07/2024 22:49:07,20-29 ans,,Rarement,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,"Oui, un peu",Aucune amélioration attendue,Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:49:30,20-29 ans,Étudiant(e),Rarement,Influent,"Oui, souvent","Oui, de manière égale",Confiant,Neutre,Non,"Oui, un peu","Meilleure personnalisation des réponses, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Satisfait,Publiquement,Non
02/07/2024 22:51:48,20-29 ans,Étudiant(e),Rarement,Influent,Parfois,Les avis négatifs sont plus influents,Confiant,Neutre,Non,"Oui, un peu","Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,Non
02/07/2024 22:52:04,20-29 ans,Service civique ,Toujours,Influent,Parfois,"Oui, de manière égale",Confiant,Satisfait,Non,Neutre,"Meilleure personnalisation des réponses, Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, positivement"
02/07/2024 22:54:58,20-29 ans,Étudiant(e),Parfois,Influent,Parfois,"Oui, de manière égale",Moyennement confiant,Neutre,Non,Neutre,"Temps de réponse plus rapide, Meilleure compréhension des besoins des clients, Amélioration des produits/services",Neutre,Publiquement,"Oui, négativement"
02/07/2024 22:56:04,20-29 ans,Étudiant(e),Jamais,Influent,"Oui, souvent",Les avis négatifs sont plus influents,Moyennement confiant,,Non,,,Satisfait,Pas de préférence,"Oui, positivement"
02/07/2024 22:59:18,20-29 ans,Chercheur(e),Rarement,Influent,Parfois,"Oui, de manière égale",Très confiant,Satisfait,Non,"Oui, beaucoup",Temps de réponse plus rapide,Très satisfait,Publiquement,"Oui, positivement"
